AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,LeagueId,SkillRating,TotalScore,ModScore,GearScore,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,TWOmiCount,GACOmiCount,TBOmiCount,CQOmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Relic10Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount
729835146,"Yania May","YaniaMay#7722",433280499042091014,7346311,4537938,"AURODIUM",2679,9.51,3.07,6.44,338,8,20,237,291,38,9,24,4,1,6,4,36,7,77,4,58,31,10,0,442,595,251,86,13,8
473794447,"ItzBerndern","ItzBerndern#5396",200418284783403013,8733588,4899758,"KYBER",3347,11.96,5.04,6.92,375,1,17,278,382,74,14,50,8,1,5,0,33,1,70,7,81,48,31,1,650,896,435,243,72,10
611865263,"Salvare","Salvare#2619",467081223676624897,7617014,4681119,"CHROMIUM",2540,11.27,5.09,6.18,354,0,56,223,351,45,15,28,1,0,4,7,21,9,69,6,82,13,8,1,551,875,404,172,50,9
341125679,"8","8........#0588",476527780746756103,7829711,4721361,"AURODIUM",2633,10.52,4.09,6.43,350,5,37,243,329,47,9,29,6,0,11,4,20,4,78,13,82,18,11,0,671,852,350,128,24,9
453925665,"N7 Tesla","n7tesla#0000",406243814748192768,7518434,4825241,"CHROMIUM",2453,12.85,6.34,6.51,353,3,12,253,302,48,14,32,2,0,1,0,49,5,92,11,68,19,8,0,484,998,494,200,69,8
788557913,"s0da p0pinski","s0da_p0pinski#0000",481439948671680515,8737387,5056583,"KYBER",3393,12.27,5.33,6.94,362,0,4,288,383,77,14,60,2,1,1,1,11,4,75,27,127,28,14,0,684,1117,503,205,37,9
778628584,"Bobandy","bobandy8960#0000",669017708443992086,8583434,4872564,"KYBER",3415,11.38,4.53,6.85,373,0,28,279,391,83,15,64,3,1,1,2,43,4,84,5,108,15,17,0,642,1078,433,143,23,9
944998814,"Philadelphia Collins","_philadelphiacollins#0000",668504480861388830,8602476,4888519,"KYBER",3474,12.06,5.22,6.84,374,0,28,277,393,78,12,61,3,1,3,0,29,4,87,10,102,26,14,0,845,967,496,188,24,9
879666349,"Skcampy","skcampy#3655",297208034860597248,7688722,4725028,"AURODIUM",2767,8.88,2.74,6.15,334,6,15,234,355,36,5,27,1,0,7,2,32,4,61,11,82,21,13,0,727,600,236,69,13,9
716951122,"MINI Mace Dymond","dymo0000#0000",612382242475606018,8309790,4824215,"KYBER",3372,10.19,3.54,6.65,371,1,31,260,361,64,13,45,5,0,0,0,44,4,78,7,76,32,19,0,821,834,331,90,19,9
436482977,"PaulB086","paulb086#0000",403550274435678209,8219359,4791171,"KYBER",3349,12.29,5.11,7.18,367,0,16,283,260,70,19,48,3,0,0,0,3,27,111,5,91,41,5,0,416,1150,434,223,47,8
187142131,"Digolo Doorjam","Digolo doorjam#3841",391026951705329665,6923906,4236053,"CHROMIUM",2383,7.37,2.17,5.2,326,9,70,163,323,41,18,16,6,0,5,2,28,4,47,6,52,9,9,0,624,414,177,34,3,7
712815396,"MINIxur'kthan","xurkthan#0000",518611328026411020,7703327,4800183,"KYBER",3056,11.69,5.08,6.61,358,4,29,249,299,56,24,25,6,1,6,0,32,2,88,12,65,31,13,0,544,837,399,208,51,5
948786289,"Uhrrr ahhrrr aaargh","uhrr#0000",391831411444809729,5525549,3469123,"CARBONITE",1645,8.8,3.27,5.53,298,6,20,154,205,5,4,0,1,0,3,1,21,2,68,7,40,11,1,0,242,451,187,98,19,8
141987319,"Saki","eevie",188160447986401280,5271929,3512376,"AURODIUM",2849,8.71,2.68,6.03,272,4,16,164,180,31,4,25,2,0,0,0,35,0,61,3,48,11,6,0,275,346,146,74,16,5
235598485,"rockoffanddie","rockoffanddie#5252",894632266708451399,7710156,4553180,"KYBER",3405,10.65,3.71,6.93,362,1,16,266,259,64,10,48,4,1,6,1,24,7,93,13,82,17,12,0,489,666,300,136,32,8
482555984,"TheMonkeyBuddha","⁦m●nk🇨🇦⁩#5843",387297197533954049,7933326,4643508,"KYBER",3110,11,4.31,6.7,367,1,30,259,292,63,14,46,1,1,10,4,32,8,106,5,54,26,14,0,476,845,366,172,24,8
483564429,"burly kernel","burlykernel",392357312825655296,7741778,4520136,"KYBER",3002,9.4,2.6,6.8,354,7,20,259,317,57,12,39,5,1,4,1,42,4,93,9,81,14,11,0,480,445,214,94,19,9
285458979,"OhMyPretzel","ohmypretzel",734490257289904140,7126634,4051213,"KYBER",3079,9.69,2.98,6.71,343,8,14,231,223,57,7,45,3,1,3,2,37,1,70,18,66,24,10,0,434,590,243,72,6,7
752448563,"GrandMoff GOAT","GrandMoff GOAT#9745",740627301980569602,7649905,4576506,"KYBER",3295,11,4.34,6.67,339,4,6,259,275,62,10,50,2,0,4,0,42,3,99,6,82,17,5,0,727,729,353,154,31,8
317451447,"DoritosJesus","jacobg7895#0000",347586006146613250,7201527,4581909,"AURODIUM",2805,8.37,2.01,6.37,336,8,27,227,252,45,5,34,6,0,6,1,31,3,88,3,54,27,14,0,289,286,152,70,15,6
123915621,"Enzo","everyusernameiwantedwastaken",305038025031942154,7423988,4696935,"KYBER",3457,9.47,2.65,6.82,347,3,15,257,208,52,12,40,0,0,1,1,32,0,121,5,66,23,8,0,549,489,210,82,20,8
662698148,"Wabba Dejabba","recon224#0000",199745725515431937,6695640,4268824,"AURODIUM",2786,11.96,6.1,5.85,325,4,30,193,253,26,12,12,1,0,4,2,24,2,66,5,66,17,6,0,468,804,414,237,50,8
762683647,"Viirx","_vetra_#0000",152569189314461696,7471867,4597087,"CHROMIUM",2446,9.51,3.04,6.47,344,4,12,246,299,54,10,36,6,1,3,0,46,2,99,5,64,17,10,0,478,509,234,117,28,8
764114844,"Lore Maestro","loremaestro#0000",208781664145506304,7228752,4314791,"KYBER",3409,10.54,4.49,6.04,355,8,30,206,279,59,0,57,2,0,13,0,8,2,77,3,67,17,19,0,569,674,333,153,46,3
289231731,"Pflapjack","pflapjack#8956",560550090909941760,7707205,4629489,"CHROMIUM",2505,8.74,2.43,6.31,362,1,65,233,325,34,11,18,3,1,3,11,41,6,95,6,49,15,7,0,592,556,208,72,11,8
674639696,"CloneOfPumbaa","pumbaa91#1341",753718919499612193,7527536,4651815,"AURODIUM",2735,10.14,3.46,6.68,347,3,9,258,264,59,5,48,5,1,4,2,42,2,120,6,47,19,15,0,414,703,278,123,23,9
296113458,"Cubanito","brady0391",1155009066695938108,5541622,3811846,"KYBER",2984,8.3,2.63,5.67,304,1,32,163,148,32,1,27,3,1,0,0,38,3,68,5,40,6,3,0,275,341,156,63,14,5
529186388,"HonkaHonka","honkahonka6368",515764710969180171,5996524,3537243,"KYBER",3069,10.51,3.82,6.69,291,6,15,201,168,43,2,40,1,0,4,0,37,1,79,3,63,11,3,0,410,440,248,99,18,6
858335717,"Kayid","arjanpm",187314247548665857,4561396,2661311,"BRONZIUM",2159,6.02,1.01,5.01,243,10,27,113,114,16,8,5,3,0,12,4,13,1,39,3,25,8,2,0,241,184,54,12,1,3
333669994,"Grand Forcequisitor","tg868#0000",1102776590930292776,6476414,3882023,"KYBER",2985,9.3,2.12,7.18,304,4,12,236,141,32,4,24,4,0,2,1,35,1,107,11,62,13,3,0,214,337,148,60,12,6
787622886,"Stegosaurus Dave","⁦Stegosaurus Dave⁩#6156",1059897371477147648,5990821,3883701,"CHROMIUM",2646,7.56,1.4,6.16,305,2,14,195,167,17,3,14,0,0,4,3,41,4,82,3,43,10,5,0,381,312,98,23,1,7
372864427,"Gut0182","gut0182",425717530288717845,7021625,4285334,"AURODIUM",2805,9.65,2.53,7.12,348,1,12,256,170,44,8,31,4,1,5,2,44,0,120,6,55,9,15,0,301,342,187,88,17,8
729396135,"Berk Law","berklaw#0000",388527992349130752,7630355,4500702,"AURODIUM",2764,11.57,5.23,6.35,349,5,26,241,323,39,8,25,5,0,15,3,30,19,60,9,67,21,10,0,885,921,434,183,25,8
945871848,"Toughnoodles","ToughNoodles117 🇺🇸 (PST)#5388",300810383558705152,6708863,4258944,"KYBER",2982,9.74,4.04,5.7,335,10,31,190,240,45,9,33,3,0,2,1,25,2,85,4,44,18,6,0,428,644,274,149,37,5
321361271,"Banshey","banshey13",224529305131024384,6428202,4051986,"AURODIUM",2731,8.85,2.52,6.33,325,3,39,203,199,47,13,31,3,0,2,0,45,6,76,5,52,14,3,0,423,442,181,55,10,5
921739269,"Chapolin Colorado","ivanvicentini",326292846804205570,8226693,4806352,"KYBER",3228,11.95,5.34,6.61,370,0,38,256,363,62,8,53,1,0,9,0,24,5,81,5,96,22,14,0,735,869,452,229,53,9
126263353,"SuperKlago","catagol",147874874159923201,4692653,3174566,"BRONZIUM",2374,6.76,2.34,4.42,271,17,32,106,88,13,3,8,0,1,0,2,23,4,55,8,10,3,1,0,149,308,115,43,15,2
992277415,"Only Bak","⁦Bak⁩#4851",746100136513372229,5733612,3625882,"CHROMIUM",2549,6.42,1.47,4.95,285,7,37,140,198,18,5,10,3,0,3,0,23,5,40,9,34,14,2,0,270,354,96,23,5,6
358589147,"dadslostcause","dadslostcause#0000",659363772028420096,4591627,2815169,"BRONZIUM",2081,8.02,0.59,7.43,257,1,6,177,64,17,8,9,0,0,6,1,33,3,54,18,53,3,4,1,76,61,26,16,5,1
548986391,"PantherNP","falconsfan94#0000",237966136451268609,5181918,3798815,"CHROMIUM",2534,8.74,3.11,5.63,278,4,28,154,119,14,4,9,0,1,0,1,22,6,70,6,38,8,3,0,239,412,170,77,16,4
452889388,"Guiragon2","guiragon#0000",307966633958178816,5765256,3742424,"CHROMIUM",2562,8.74,2.05,6.7,296,3,8,202,134,16,0,16,0,0,4,0,22,5,89,13,59,6,4,0,163,314,117,68,18,6
258161153,"Luiz Yavok","aeros0625",210268506044891138,6564837,4125714,"KYBER",3239,11.42,4.7,6.71,329,2,8,232,150,40,5,31,3,1,2,3,46,0,105,4,62,5,5,0,399,616,310,177,42,6
449652159,"Steelers77","Josh777#3556",344458079380701184,6487161,4404189,"AURODIUM",2852,9.41,4.19,5.23,319,2,30,171,204,33,0,31,1,1,0,1,22,1,83,4,39,14,7,0,326,674,263,162,48,5
819711931,"Seeuker","niklas2061",734836168440676413,6788885,4436809,"KYBER",3390,9.79,3.71,6.08,336,3,33,206,202,54,3,50,1,0,1,0,37,1,73,3,72,12,7,0,373,474,250,152,36,8
217842861,"cfcmattw","Cfcmattw#1670",140160224383336448,6748004,3965170,"AURODIUM",2905,8.6,2.47,6.13,328,3,33,200,263,43,0,40,2,1,0,2,30,6,90,3,52,12,4,1,511,478,188,59,8,6
473524614,"Coup de grâce","kennyboy495#3560",405413488224108555,5077404,3653350,"AURODIUM",2911,9.64,4.47,5.18,269,4,26,136,180,14,0,14,0,0,3,2,22,5,34,17,40,9,4,0,296,555,231,105,35,6
662174745,"Jhoots15","jhoots15",1380349354182836234,2458571,1977692,"BRONZIUM",2231,5.57,0.85,4.72,146,3,9,70,32,2,0,2,0,0,4,0,34,1,17,0,11,1,2,0,24,38,21,11,3,1
972459169,"Pussbag","pussbag#2863",280761431777869834,4552474,3450308,"AURODIUM",2758,5.85,1.49,4.36,273,9,48,104,164,16,0,16,0,0,9,9,24,6,33,2,15,4,2,0,272,257,77,19,4,2
555827335,"Fixer 40","OneEyedPiglet#0653",965653705443668039,6464597,4138380,"AURODIUM",2842,8.36,1.53,6.83,315,3,14,233,171,41,12,29,0,0,9,4,41,2,94,10,60,10,3,0,173,363,112,30,5,3
